audio	condition	item	stimulus	answer
1_3_fill	M_Pauc	fill	В кабинете два шкафа у окна битком набиты бумагами.	0
2_3_exp	M_Pl	exp	"Ужасно смешные у этого клоуна шутки в представлении, надо запомнить."	0
3_3_exp	NM_Sg	exp	"недостаточно большие в этом городе парковка в центре, на всех мест не хватит."	1
4_3_fill	M_Pl	fill	В небе пять самолетов яркого цвета летели на север.	0
5_3_exp	M_Sg	exp	"Удивительно плохая у Мишкиного сына застежка на куртке, вот он и бегает нараспашку."	0
6_3_fill	NM_Pl	fill	В книжном семь романа о гангстерах продавались без наценки.	1
7_3_fill	NM_Pauc	fill	На площади три магазинов рядом с музеем торговали местными сувенирами.	1
8_3_exp	NM_Pl	exp	"Совершенно косая у тебя на свитере полоски посередине, так и должно быть?"	1
9_3_exp	M_Pl	exp	"Явно неделовые у нашего начальника поездки в Париж, очень подозрительно."	0
10_3_fill	NM_Pl	fill	В городе шесть завода у реки сбрасывают в нее отходы.	1
11_3_exp	NM_Sg	exp	"на редкость простые у третьего класса задачка по математике, надо усложнить."	1
12_3_fill	M_Pauc	fill	В магазине три чайника из Китая стоят дороже остальных.	0
13_3_fill	M_Pl	fill	На конкурсе шесть театров юного зрителя получили главные награды.	0
14_3_exp	M_Sg	exp	"Совершенно пустая у Сережи дома полка на стене, куда делись все книги?"	0
15_3_exp	NM_Pl	exp	"Абсолютно любая к этому пиджаку рубашки лучше, чем свитер."	1
16_3_fill	M_Pauc	fill	В музее три портрета прошлого века были украдены строителями.	0
17_3_exp	M_Pl	exp	"чересчур дорогие у вашего мэра квартиры в центре, откуда у него столько денег?"	0
18_3_fill	NM_Pauc	fill	На карте четыре островов в океане были помечены красным.	1
19_3_fill	NM_Pl	fill	В поезде пять проводника в форме следят за порядком.	1
20_3_exp	NM_Sg	exp	"Всегда густые у этой фирмы краска для стен, удобно красить!"	1
21_3_exp	M_Sg	exp	"Невозможно худая у этого больного рука на фотографии, такого не может быть!"	0
22_3_fill	NM_Pauc	fill	На стадионе четыре парней в футболках бегают уже час.	1
23_3_exp	NM_Pl	exp	"Очень тупая у нашего соседа лопаты на даче, ничего не вскопаешь."	1
24_3_fill	M_Pl	fill	В гостинице пять гостей из Америки жаловались на обслуживание.	0
25_3_fill	M_Pauc	fill	В деревне два дома у озера выставлены на продажу.	0
26_3_exp	M_Pl	exp	"Страшно крутые у Марины во дворе горки для детей, маленьким опасно."	0
27_3_exp	NM_Sg	exp	Невероятно дурные у Наташиного брата привычка с детства: собираться в последний момент.	1
28_3_fill	M_Pl	fill	В начале года восемь сотрудников из бухгалтерии были уволены без предупреждения.	0
29_3_exp	M_Sg	exp	"совсем сухая из-за жары у вас ромашка в саду, уже не спасти."	0
30_3_fill	NM_Pl	fill	На собрании восемь политика из области выступили с предложением.	1
31_3_fill	NM_Pauc	fill	В телепрограмме два американцев из Техаса победили на конкурсе.	1
32_3_exp	NM_Pl	exp	"Ярко голубая перед входом в театр афиши спектакля, сразу заметишь."	1
33_3_exp	M_Pl	exp	"не совсем типовые возле нашего дома новостройки с гаражом, наверное, удобно."	0
34_3_fill	NM_Pl	fill	В суде шесть преступника за решёткой угрожали охраннику.	1
35_3_exp	NM_Sg	exp	"Насколько же тугие у Кирилла дома пружина в замке, открыть невозможно."	1
36_3_fill	M_Pauc	fill	В детективе четыре бандита с бритыми головами оказались помощниками полицейского.	0
